Activity,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10,Skill_11,Skill_12,Skill_13,Skill_14,Skill_15,Skill_16,Skill_17,Skill_18,Skill_19,Skill_20,Skill_21,Skill_22,Skill_23,Skill_24,Skill_25,Skill_26,Skill_27,Skill_28,Skill_29,Skill_30,Skill_31,Skill_32,Skill_33,Skill_34,Skill_35,Skill_36,Skill_37,Skill_38,Skill_39,Skill_40,Skill_41,Skill_42,Skill_43,Skill_44,Skill_45,Skill_46,Skill_47,Skill_48,Skill_49,Skill_50
Activity_253,1.1,4.1,3.7,2.3,5.0,1.6,4.3,2.8,2.7,1.9,4.2,2.2,4.6,4.0,4.2,2.2,2.9,2.7,2.1,2.5,2.4,2.6,3.8,1.4,1.0,2.8,1.6,2.5,3.2,2.9,3.4,2.6,3.9,2.3,1.9,4.1,4.5,3.0,2.6,2.4,3.2,3.3,3.7,0.2,2.9,5.0,3.4,2.3,3.3,2.7
Activity_254,2.5,3.8,2.5,2.0,2.7,3.8,2.6,2.4,4.4,4.2,3.5,3.2,3.2,2.5,3.4,2.0,2.6,2.6,2.4,5.0,4.8,3.3,1.9,1.4,2.9,3.3,2.0,2.3,0.1,3.0,0.7,2.8,2.3,5.0,3.6,3.0,3.2,1.9,4.3,4.6,3.0,2.7,3.6,3.2,3.8,5.0,3.4,2.0,3.5,3.3
Activity_255,0.0,3.3,3.0,3.4,5.0,3.7,2.8,1.3,2.7,1.3,3.1,3.7,2.9,5.0,3.8,3.3,4.0,2.9,1.1,3.4,1.4,1.5,4.2,3.1,1.4,4.4,3.8,0.3,2.0,2.7,3.9,1.4,3.3,4.1,2.3,1.6,0.0,2.0,3.9,4.0,0.5,2.6,3.5,2.0,3.7,3.3,3.7,5.0,4.3,1.7
Activity_256,2.3,5.0,3.5,1.7,3.5,1.3,3.4,3.4,2.0,3.9,1.1,5.0,3.7,2.8,2.1,4.2,1.6,5.0,3.0,2.1,2.5,3.1,3.9,3.4,3.0,5.0,3.9,0.5,4.1,1.6,3.7,5.0,4.7,1.8,1.7,5.0,1.2,3.4,5.0,4.9,2.7,2.1,4.9,2.5,0.5,2.2,2.4,0.0,3.8,2.8
Activity_257,3.9,0.9,4.5,1.0,5.0,2.4,4.0,2.9,1.6,2.1,3.1,3.6,2.9,3.0,2.8,3.6,1.4,2.5,3.2,2.8,1.2,2.4,1.7,3.1,4.3,3.2,3.2,2.8,3.9,2.5,1.2,1.5,2.5,3.1,2.4,3.0,3.8,4.7,1.8,3.6,3.1,3.3,4.8,2.2,2.8,0.8,3.0,4.3,3.9,1.0
Activity_258,2.3,2.9,3.7,4.9,3.7,2.5,4.9,2.7,5.0,3.5,4.0,4.6,0.0,4.0,3.7,3.0,2.4,3.1,4.2,3.8,2.9,3.8,2.5,1.2,3.4,0.6,3.4,2.0,2.8,3.7,4.5,3.3,1.6,4.3,5.0,2.1,2.7,2.3,3.4,3.1,2.6,1.6,4.7,4.0,3.8,1.7,4.0,1.8,3.7,2.4
Activity_259,2.1,2.1,4.0,1.9,2.3,3.6,2.4,5.0,1.5,3.9,3.5,4.4,4.1,5.0,2.7,2.7,3.5,2.3,3.4,3.1,2.3,2.4,5.0,2.7,4.0,1.5,2.3,4.8,1.7,4.1,0.9,5.0,3.6,1.8,2.3,3.5,2.2,1.8,2.2,3.3,4.6,2.1,1.4,2.5,4.2,2.3,4.0,2.4,3.4,3.6
Activity_260,3.1,2.4,3.7,3.7,2.6,4.3,3.1,2.1,2.6,2.2,4.4,1.9,3.0,5.0,3.7,4.9,0.0,2.8,0.5,1.6,2.8,2.1,2.8,3.4,3.3,1.7,4.5,3.0,2.9,2.2,3.8,5.0,1.4,3.5,2.7,3.5,1.3,1.8,4.5,2.9,2.1,2.7,1.9,0.5,2.5,4.3,2.5,3.4,4.3,1.3
Activity_261,1.8,3.1,2.1,4.8,2.5,3.3,2.4,3.4,2.3,2.8,2.2,2.9,4.5,4.0,4.1,2.3,2.2,2.1,4.7,2.5,3.8,3.1,4.2,3.0,3.0,0.3,2.4,5.0,3.2,5.0,4.4,3.7,1.0,3.9,2.8,4.2,2.5,3.9,1.7,3.4,4.0,3.4,4.7,3.8,4.1,1.8,4.3,0.0,2.5,3.4
Activity_262,4.9,2.5,4.8,2.8,0.2,3.3,2.8,2.4,3.1,3.6,3.5,3.3,2.9,4.7,2.7,0.0,3.0,3.3,1.2,3.7,4.4,1.6,3.7,3.2,3.9,3.9,3.8,2.4,1.4,2.8,0.7,0.9,1.6,4.4,3.1,3.2,4.2,2.8,4.4,0.1,0.8,2.7,2.1,4.2,3.6,4.0,2.0,2.2,3.3,2.9
Activity_263,2.1,3.5,3.2,3.5,1.8,4.4,4.7,2.5,4.0,3.1,3.4,2.9,2.1,2.5,1.4,3.0,1.7,2.3,2.8,3.4,2.6,5.0,2.6,2.7,2.4,3.4,2.3,4.5,2.8,2.3,4.3,3.0,2.8,3.7,1.6,0.8,3.0,4.8,2.9,3.1,0.7,2.5,3.1,3.1,3.6,5.0,4.3,3.2,2.6,2.7
Activity_264,3.3,2.8,2.6,4.2,4.0,3.9,2.1,2.1,2.7,0.7,0.3,0.9,2.1,2.7,3.2,1.9,3.7,2.6,2.8,3.7,1.1,4.9,5.0,0.7,5.0,1.8,4.8,2.4,5.0,3.8,2.3,3.1,1.4,1.7,3.5,4.1,2.9,0.2,3.2,1.8,3.0,0.6,4.6,3.3,3.6,2.4,4.4,1.1,2.8,3.5
Activity_265,5.0,3.3,3.5,2.1,2.9,3.1,3.9,4.0,2.4,4.0,4.9,2.8,3.4,1.7,1.4,2.4,3.6,2.0,5.0,4.2,0.9,2.5,3.6,2.8,3.7,2.6,1.8,3.6,3.9,2.5,4.6,1.0,1.2,4.5,3.9,1.3,4.3,3.0,4.9,3.0,5.0,2.1,1.6,1.9,3.2,2.7,2.7,2.0,3.1,1.7
Activity_266,3.6,2.4,1.9,2.5,2.5,1.6,1.8,3.1,2.2,1.0,5.0,0.0,3.4,4.2,3.0,4.8,3.1,3.0,2.3,5.0,2.2,5.0,2.3,2.4,3.1,2.6,3.5,4.5,1.7,3.7,2.5,0.7,5.0,3.0,3.5,3.6,2.9,3.5,2.5,0.2,2.6,3.2,2.7,3.2,2.2,3.8,3.6,3.5,5.0,3.4
Activity_267,4.3,4.8,3.4,1.6,2.7,4.1,3.1,3.6,2.9,3.0,5.0,4.7,1.4,2.5,3.5,1.5,2.7,4.5,5.0,1.1,3.9,2.8,1.8,2.2,2.5,3.5,4.2,2.5,3.8,3.6,5.0,0.4,2.8,1.8,3.6,1.7,3.0,2.4,3.1,1.4,4.7,2.5,1.1,3.3,2.2,2.7,3.7,3.7,4.7,3.0
Activity_268,2.0,4.0,0.9,3.7,1.8,2.1,2.2,2.6,3.5,2.9,3.0,2.8,1.9,1.5,0.8,3.9,2.7,0.9,3.7,4.4,3.3,1.9,3.6,4.1,3.5,3.3,2.2,0.8,2.2,3.6,2.1,2.5,1.4,1.6,1.3,3.8,1.3,4.8,3.1,3.0,2.1,1.5,2.3,1.4,3.8,5.0,2.7,3.7,3.9,2.6
Activity_269,4.9,4.0,2.1,4.6,3.8,1.7,0.0,2.2,1.8,2.5,2.5,2.2,1.7,4.0,1.5,3.6,4.3,1.6,3.6,1.8,0.5,3.8,3.9,2.8,3.9,5.0,1.7,1.7,2.7,3.5,3.5,3.6,2.9,3.7,3.3,2.2,3.8,4.2,2.5,3.6,5.0,2.9,3.4,1.9,3.7,0.8,2.1,5.0,2.4,0.3
Activity_270,3.1,3.9,3.5,2.3,3.0,3.0,5.0,4.3,2.3,2.7,4.9,2.4,2.7,3.8,4.0,4.2,3.3,3.5,2.8,3.0,3.9,0.2,5.0,0.6,2.6,4.6,2.5,2.8,2.9,2.5,4.6,0.9,2.0,2.8,3.6,1.7,1.7,1.5,3.3,1.8,2.4,3.3,3.9,3.8,2.5,3.9,4.0,4.7,3.3,2.8
Activity_271,3.9,3.4,2.0,1.2,1.3,2.2,1.7,2.2,1.8,3.9,2.0,2.0,1.5,2.2,3.2,2.9,0.5,3.7,3.9,4.0,2.1,1.9,2.1,2.8,1.0,2.7,4.6,3.2,4.7,5.0,1.5,0.9,2.2,3.7,3.0,3.9,2.6,0.2,1.5,2.2,1.5,1.7,1.2,2.1,3.0,0.0,4.3,3.6,1.3,1.4
Activity_272,5.0,2.0,1.8,3.3,4.8,4.9,2.2,3.2,2.9,4.2,2.2,4.1,4.7,3.0,2.6,3.9,3.9,4.4,1.9,2.1,3.6,3.5,3.4,3.2,3.3,0.0,0.7,0.6,3.0,4.6,2.6,4.0,4.3,1.7,4.1,4.1,2.3,4.3,2.5,2.1,1.9,2.0,4.2,4.2,5.0,2.7,3.4,0.8,5.0,2.8
Activity_273,2.8,2.8,1.9,2.8,3.2,2.4,1.1,2.5,4.1,1.7,4.3,3.9,5.0,2.8,1.2,4.6,1.3,3.0,4.0,1.1,3.8,3.2,4.2,2.5,3.9,3.7,2.3,3.0,2.9,4.3,1.8,3.4,0.9,2.1,3.5,2.0,2.8,3.8,2.7,3.5,3.5,1.9,2.4,3.8,2.5,4.1,1.8,4.6,1.6,3.9
Activity_274,1.1,2.7,2.9,3.1,5.0,4.0,3.9,3.2,4.1,1.3,1.2,1.8,2.7,4.0,5.0,1.7,2.8,3.5,4.2,3.5,2.7,1.0,2.1,1.4,1.8,5.0,2.1,4.8,1.2,0.8,3.1,1.4,3.1,1.9,2.2,3.8,4.0,4.8,2.8,3.7,4.2,4.0,3.5,3.0,2.8,2.6,3.8,3.4,4.1,3.3
Activity_275,3.3,3.6,3.0,1.3,3.0,3.0,3.2,3.6,5.0,3.5,2.5,2.8,1.5,2.1,4.2,3.9,1.9,4.7,3.4,2.6,4.0,2.4,3.5,1.9,3.6,5.0,1.8,2.3,2.8,4.9,5.0,2.6,4.3,2.0,4.0,2.7,3.4,3.4,4.0,4.0,4.1,1.2,3.9,3.2,4.3,1.4,2.7,4.8,4.6,3.1
Activity_276,1.2,4.5,3.4,2.5,2.6,3.4,4.1,2.1,3.0,0.1,3.5,4.4,3.6,2.7,3.3,3.0,3.9,1.8,1.7,2.6,3.6,3.1,2.9,3.2,2.0,3.3,3.8,3.2,4.7,4.9,3.3,3.5,1.6,4.2,3.3,4.1,3.2,2.1,2.9,5.0,1.1,1.7,2.1,3.5,5.0,2.9,1.0,4.7,3.4,2.4
Activity_277,4.6,3.3,3.1,3.3,3.2,1.8,3.9,2.4,3.5,1.4,2.4,3.3,5.0,3.6,3.1,4.9,2.4,2.5,3.8,3.3,3.7,4.8,2.4,4.3,2.4,0.9,3.4,3.9,2.3,2.9,0.3,3.5,1.3,4.0,4.1,1.1,2.8,3.0,3.7,5.0,5.0,1.9,3.8,1.3,4.2,2.8,3.6,0.6,2.3,2.6
Activity_278,4.0,2.8,2.2,3.8,4.6,4.6,2.2,3.4,2.2,2.4,4.7,1.7,1.9,1.8,3.4,4.4,2.2,2.3,2.4,2.6,2.5,2.1,3.7,2.3,4.3,5.0,4.1,3.2,4.5,2.2,1.8,3.6,3.3,3.3,3.6,2.8,2.7,2.9,0.4,2.6,2.2,5.0,3.9,3.1,3.0,3.7,3.6,1.6,0.2,2.8
Activity_279,1.6,2.8,2.2,4.3,2.1,2.4,0.9,2.4,3.3,5.0,3.7,2.7,1.0,0.3,3.6,2.7,0.7,0.9,3.1,2.7,3.4,3.6,5.0,2.5,1.2,2.7,4.2,2.1,3.9,2.2,2.5,2.5,1.1,4.4,2.9,5.0,2.2,4.0,4.0,4.2,2.3,5.0,2.3,2.1,2.9,3.0,3.7,4.8,3.4,2.9
Activity_280,2.2,3.6,1.5,3.1,1.0,2.9,4.3,4.5,1.7,4.7,3.6,4.6,3.4,5.0,3.1,3.4,4.3,1.5,3.9,3.3,3.7,3.1,2.3,1.3,1.0,3.5,3.5,4.5,2.2,3.3,5.0,2.5,3.8,2.4,1.7,2.6,2.0,4.0,4.7,2.9,2.2,2.3,2.6,2.8,1.9,2.8,3.1,1.7,2.9,3.4
Activity_281,3.1,2.5,2.9,3.6,5.0,2.9,1.3,3.1,1.8,3.8,1.8,1.3,3.1,3.9,2.4,1.7,3.2,3.1,2.7,5.0,3.1,4.3,3.7,2.5,3.0,1.6,2.0,2.9,1.6,1.3,3.2,4.8,5.0,3.9,3.6,3.3,2.7,1.1,3.7,3.0,3.3,4.5,2.3,4.0,4.1,2.3,4.3,1.9,3.7,0.0
Activity_282,2.9,5.0,3.0,4.3,1.3,3.0,3.3,4.1,1.7,4.2,3.6,2.2,4.3,3.8,4.4,3.0,2.8,4.0,0.0,2.9,3.0,1.5,2.8,3.4,2.8,5.0,3.4,3.8,2.9,0.8,2.6,5.0,3.7,3.0,5.0,1.9,2.2,4.1,3.9,4.6,3.6,2.3,2.0,2.6,2.8,5.0,3.1,4.2,5.0,4.0
Activity_283,2.3,3.7,3.8,2.8,1.9,2.8,5.0,3.0,3.6,3.0,3.0,4.3,3.0,3.7,2.2,2.7,5.0,2.5,4.5,3.8,1.8,3.1,2.5,3.8,1.9,2.0,4.6,4.9,3.9,5.0,5.0,4.9,4.0,3.9,4.7,0.6,3.4,3.1,1.5,2.0,3.3,1.7,3.1,2.4,2.5,1.6,1.6,3.1,1.6,5.0
Activity_284,2.5,2.3,5.0,4.7,4.8,3.1,2.6,3.1,1.1,3.6,4.4,1.9,3.3,4.2,5.0,5.0,3.9,5.0,4.4,3.5,3.3,1.9,3.6,1.7,3.3,3.4,4.0,1.3,3.4,1.3,2.3,2.8,1.0,2.1,1.9,3.8,2.9,4.0,2.4,4.8,4.1,2.5,3.2,2.5,2.6,1.8,3.9,4.1,0.9,5.0
Activity_285,3.7,3.6,2.2,4.3,2.3,3.5,3.6,1.4,1.9,1.3,3.2,2.7,3.4,1.8,4.2,2.6,5.0,3.2,4.6,0.3,1.9,4.0,1.9,2.5,0.4,3.3,2.3,3.3,1.5,3.2,4.6,2.8,3.0,3.0,2.4,4.4,4.5,2.7,2.2,2.8,3.8,3.8,2.7,3.3,2.8,3.3,3.7,2.6,1.9,3.4
Activity_286,3.5,3.0,3.2,2.0,3.8,1.3,3.2,3.1,3.8,2.2,3.6,3.2,3.0,3.0,1.3,1.3,2.7,2.5,3.4,1.8,4.7,3.2,2.1,2.9,4.4,4.4,2.6,1.7,4.2,3.2,1.4,2.2,3.9,3.5,1.1,3.8,5.0,2.6,4.0,2.6,0.5,1.4,3.7,3.4,3.5,4.7,4.2,2.9,3.9,4.0
Activity_287,1.5,3.2,1.9,1.0,4.7,0.9,1.8,2.7,3.5,1.8,3.7,1.5,3.5,1.1,4.6,3.0,4.0,1.0,0.5,2.6,3.9,2.3,4.4,3.7,3.8,3.2,2.8,4.1,3.0,2.5,2.8,3.8,3.3,3.9,2.2,3.1,3.0,3.7,2.1,3.3,2.1,4.8,1.7,0.5,2.1,2.8,3.2,2.8,3.7,1.6
Activity_288,2.7,0.1,1.3,3.4,2.0,1.3,3.3,1.6,1.7,2.8,0.8,2.8,1.0,4.0,4.8,2.0,3.5,3.5,3.1,3.5,3.3,3.6,0.6,3.6,2.0,4.0,2.6,4.3,2.9,3.1,2.1,3.1,2.7,2.0,3.4,1.7,2.3,3.7,4.0,2.6,2.7,2.3,2.3,3.1,2.5,5.0,4.1,3.1,2.9,3.6
Activity_289,2.1,0.1,0.5,2.8,3.7,3.4,2.7,2.1,2.0,4.4,3.0,4.2,4.8,1.2,3.5,2.5,2.2,4.4,1.5,4.1,1.7,4.2,5.0,2.6,4.0,3.0,1.9,2.6,2.8,2.2,3.0,2.5,3.7,4.0,1.7,2.0,3.9,5.0,4.2,0.5,3.6,5.0,4.1,3.5,0.0,3.4,5.0,2.8,1.8,2.4
Activity_290,3.6,3.3,3.6,2.4,2.5,1.7,3.3,3.6,3.9,5.0,2.5,2.3,3.8,4.0,2.8,3.1,3.0,4.5,2.9,3.8,1.6,5.0,3.0,2.1,3.8,4.7,2.2,4.5,0.9,2.1,2.4,2.1,3.1,2.2,4.6,3.6,3.8,3.1,1.3,1.2,1.1,2.9,5.0,1.6,1.4,0.8,3.6,1.1,2.2,2.7
Activity_291,3.0,4.3,2.1,3.1,1.1,3.6,0.9,1.8,4.5,2.3,1.8,2.9,4.0,5.0,0.5,3.9,0.7,3.5,4.1,3.5,3.9,3.4,5.0,2.4,1.9,1.8,5.0,3.5,3.7,1.7,1.2,3.2,2.3,0.7,1.4,0.7,1.4,2.2,2.5,2.2,3.7,3.2,3.1,2.9,4.4,3.3,3.3,4.6,4.3,3.6
Activity_292,2.8,3.8,1.8,4.0,3.0,2.7,3.9,2.8,2.9,3.4,2.1,1.7,3.4,2.7,2.4,4.7,1.8,4.0,1.9,1.7,3.9,3.5,3.7,3.7,3.7,1.2,3.0,4.2,3.9,4.4,2.8,1.3,2.9,2.6,3.1,1.7,3.4,3.3,5.0,3.0,3.9,3.0,1.7,3.0,3.3,5.0,1.7,1.6,5.0,3.6
Activity_293,0.6,4.3,1.8,4.8,4.3,2.0,2.0,2.2,3.1,3.5,2.9,4.4,2.4,0.2,4.3,0.0,3.4,5.0,4.4,3.2,3.2,2.9,2.3,2.3,4.8,2.2,4.2,3.4,2.7,3.0,2.4,4.4,3.8,2.9,2.7,3.3,3.4,3.9,3.8,3.2,3.4,2.2,4.0,3.8,4.2,3.7,3.3,2.7,4.6,2.0
Activity_294,2.5,1.6,2.8,2.4,2.3,3.7,2.7,4.8,3.9,1.1,4.5,3.6,4.2,3.7,4.3,2.0,4.3,2.4,4.1,2.0,1.0,2.8,0.8,2.9,4.9,2.7,1.1,1.1,1.3,2.8,3.3,5.0,0.9,2.6,4.1,4.8,4.9,2.4,3.9,2.3,3.4,4.2,0.9,4.2,3.3,4.2,3.6,1.5,2.0,1.8
Activity_295,2.6,3.6,3.0,4.2,2.5,3.0,3.3,4.2,3.1,1.6,2.0,2.4,0.7,2.8,2.2,3.6,3.9,2.7,3.2,2.4,2.4,3.0,3.8,3.7,3.4,2.6,3.8,2.1,2.6,0.8,2.4,3.3,1.3,2.7,4.1,3.2,3.2,3.1,3.0,4.1,3.7,1.6,2.8,3.3,3.3,5.0,2.5,2.5,2.8,3.1
Activity_296,3.9,1.1,0.3,3.4,2.5,2.0,3.5,3.9,1.9,4.2,2.2,3.9,3.0,2.8,1.8,4.8,3.1,4.1,3.5,3.7,2.5,4.5,3.8,2.5,0.5,1.3,2.4,2.9,3.0,2.6,2.8,0.8,2.5,2.6,1.4,4.0,3.8,4.3,3.7,2.3,3.4,3.1,3.8,1.1,2.3,2.2,2.4,4.4,1.8,1.0
Activity_297,2.8,2.8,2.3,2.7,2.7,2.8,3.4,3.1,2.8,1.4,1.4,1.7,3.5,3.2,2.4,4.2,2.1,1.5,2.8,1.3,1.0,3.2,3.3,5.0,2.4,0.2,3.9,4.0,2.1,1.1,2.5,4.6,1.7,2.9,4.6,2.0,3.0,2.4,1.2,3.4,0.9,3.0,3.9,2.6,3.5,2.8,3.5,2.2,2.0,2.8
Activity_298,2.4,5.0,3.5,5.0,0.8,3.3,2.7,2.9,0.7,1.8,2.9,2.4,1.8,2.7,3.6,3.3,1.4,4.3,2.6,3.5,2.4,3.4,1.5,1.6,3.0,5.0,3.9,3.9,2.2,2.2,2.8,4.6,4.2,0.1,1.4,2.9,3.4,2.4,3.2,4.9,3.3,3.7,3.9,1.8,3.3,2.9,3.9,2.9,1.2,2.4
Activity_299,4.6,3.1,2.3,3.1,3.8,0.4,4.8,3.3,2.3,0.9,4.4,2.2,2.5,3.7,3.6,1.8,2.2,2.9,3.8,3.1,4.8,4.0,2.7,2.5,2.7,5.0,4.6,2.3,2.4,4.5,3.3,2.7,3.3,2.2,2.6,1.3,0.0,2.3,4.0,3.7,1.4,2.1,3.6,4.5,3.9,3.3,2.3,4.7,1.6,3.2
Activity_300,3.0,3.2,2.1,2.8,2.6,3.5,2.9,5.0,1.6,2.4,2.8,3.8,3.8,3.0,3.7,2.9,1.3,4.9,4.8,3.2,3.8,2.8,2.6,4.0,4.1,2.8,1.6,1.8,1.5,3.0,2.9,2.0,3.9,1.4,2.5,4.0,4.5,2.4,0.4,3.4,3.3,2.8,3.4,2.6,3.0,2.9,1.5,1.0,2.6,3.2
Activity_301,3.3,4.3,4.2,2.4,3.9,0.2,1.9,2.5,4.0,3.8,1.1,4.1,2.0,0.5,3.8,2.1,4.6,2.6,2.7,1.6,2.8,1.7,3.0,5.0,3.2,3.6,3.0,3.0,4.1,3.9,0.0,1.8,3.7,3.3,2.5,3.2,1.9,2.4,3.0,5.0,4.1,2.8,4.4,3.3,3.1,2.0,3.5,5.0,2.8,2.9
Activity_302,3.8,4.0,2.8,4.0,4.7,4.5,3.5,1.3,3.7,0.3,2.9,3.9,1.6,0.0,3.1,4.0,2.8,2.8,3.3,3.4,2.6,4.8,4.1,3.7,4.0,3.2,2.5,4.1,2.6,1.3,1.4,2.3,1.9,3.4,2.1,1.8,3.5,2.3,2.7,3.3,3.1,3.9,0.7,1.7,1.1,4.2,4.7,2.9,4.6,4.1
Activity_303,2.1,2.1,1.7,3.4,2.3,1.4,3.1,4.5,2.4,4.6,2.4,4.7,1.9,2.3,1.9,1.3,3.3,3.4,1.5,3.4,3.2,1.3,1.2,4.9,2.7,1.4,2.4,2.8,4.1,3.0,2.3,3.9,2.9,2.6,2.1,4.0,2.8,2.3,2.6,4.3,0.5,2.9,1.6,2.8,3.2,0.0,4.3,5.0,2.6,3.1
Activity_304,4.9,2.8,3.2,5.0,1.8,2.1,3.2,3.5,5.0,1.4,4.4,5.0,0.4,3.5,2.7,2.6,3.9,1.5,2.9,5.0,2.5,2.9,3.3,2.8,0.0,3.3,1.9,3.2,4.3,3.7,1.9,1.6,3.0,4.1,5.0,2.0,3.3,3.3,2.2,1.4,2.1,3.0,2.8,4.1,1.0,2.6,2.6,1.8,3.1,2.2
Activity_305,1.1,3.6,2.4,2.1,2.5,2.4,1.5,3.9,4.1,2.7,2.2,3.8,2.5,1.0,2.3,5.0,1.9,4.9,3.5,1.8,3.6,4.3,1.7,2.6,2.3,2.7,4.7,0.6,3.1,2.6,2.9,2.3,2.4,2.9,3.8,3.9,3.3,2.6,1.3,4.5,1.5,0.5,4.6,5.0,3.8,2.0,3.9,3.2,4.2,3.3
Activity_306,2.4,2.5,2.4,5.0,1.7,3.6,2.6,2.5,3.2,3.9,4.3,1.5,3.3,2.4,4.7,1.9,3.9,0.8,3.4,3.9,2.8,4.5,3.9,4.2,3.7,2.0,2.0,3.7,4.8,2.5,3.2,3.2,0.0,2.4,3.7,4.8,2.5,3.1,0.3,1.6,2.2,1.8,3.0,1.8,3.0,3.2,2.5,3.7,0.8,3.9
Activity_307,2.7,3.3,2.7,3.0,4.7,1.8,4.2,2.1,2.9,2.0,1.2,3.2,4.5,4.1,5.0,2.8,2.6,1.8,3.5,2.6,3.8,1.9,3.4,2.2,2.6,4.3,5.0,4.4,3.5,1.6,3.5,2.8,4.6,3.1,3.6,2.5,1.5,3.0,3.2,1.6,2.3,1.9,3.9,3.1,4.5,2.5,2.6,0.5,1.7,4.0
Activity_308,5.0,5.0,5.0,1.6,3.9,4.6,2.0,3.1,2.7,1.8,4.7,2.4,4.7,3.4,3.5,3.7,1.6,2.6,1.4,4.0,3.2,3.6,3.4,5.0,3.6,3.6,3.1,2.3,2.0,3.1,3.2,4.2,4.0,5.0,4.1,0.9,4.7,1.7,3.5,2.3,2.0,1.7,0.6,2.9,2.6,2.0,3.8,3.2,1.0,4.3
Activity_309,2.9,5.0,2.6,2.9,3.2,3.9,0.0,2.3,3.4,2.1,2.3,3.5,2.3,3.1,2.2,3.7,4.0,4.6,2.6,2.2,2.3,2.5,3.7,1.6,4.9,1.9,1.6,2.9,2.3,4.1,2.9,5.0,3.8,4.3,4.8,3.8,2.1,4.3,2.9,5.0,0.6,2.1,1.5,3.1,2.8,2.4,3.1,4.0,4.0,3.9
Activity_310,4.3,1.4,5.0,3.4,5.0,3.0,1.6,4.9,2.8,1.7,1.2,1.6,3.4,3.9,3.8,3.4,0.5,2.9,5.0,2.4,2.6,5.0,0.4,2.6,2.1,3.4,1.6,3.4,3.8,3.0,5.0,3.6,1.6,2.9,3.3,3.9,2.6,2.3,0.9,1.4,4.7,3.2,2.7,3.7,3.3,3.1,2.8,3.0,3.1,2.5
Activity_311,2.4,3.8,0.7,1.0,0.6,3.9,3.5,1.4,4.1,1.9,3.9,2.8,3.9,1.5,2.9,3.3,2.6,0.7,3.8,1.9,2.9,1.1,2.3,3.3,2.8,4.9,2.2,1.7,3.8,2.3,4.3,3.1,3.1,2.8,1.9,1.0,2.4,3.0,2.4,5.0,3.7,1.6,5.0,3.7,2.6,0.8,4.4,2.9,5.0,4.2
Activity_312,4.5,5.0,2.3,3.6,1.7,3.4,3.0,3.0,3.5,3.6,4.1,3.5,3.6,1.9,3.5,2.4,2.3,2.1,5.0,2.9,2.0,0.8,3.9,3.0,4.9,2.1,2.3,3.2,1.5,2.2,2.9,1.8,1.2,1.9,4.8,4.8,3.8,4.4,3.9,1.8,1.6,4.3,2.5,3.7,3.6,2.4,1.9,4.4,2.8,3.3
Activity_313,3.9,3.0,4.5,3.3,2.7,2.8,1.8,2.6,4.0,2.3,3.1,4.1,3.5,2.5,1.4,1.7,1.1,4.9,3.8,1.5,3.6,2.5,2.8,2.9,3.9,1.4,2.4,2.3,1.8,5.0,3.3,3.7,2.4,3.3,5.0,4.0,2.7,3.7,2.3,2.1,3.8,4.6,3.7,1.1,3.7,2.4,1.8,3.8,3.0,3.6
Activity_314,4.1,2.5,0.7,1.5,2.8,4.2,1.2,2.5,3.2,3.7,1.6,2.3,0.0,3.9,2.5,2.9,2.2,4.0,1.8,1.4,2.8,3.5,5.0,2.8,1.3,3.4,4.7,3.2,2.1,1.1,3.8,2.0,4.0,4.0,2.6,3.7,2.2,1.7,2.0,2.2,2.2,1.8,4.2,3.1,4.1,4.0,4.2,2.2,3.5,0.0
Activity_315,2.3,2.2,4.8,1.0,1.5,3.8,3.0,3.1,2.6,2.5,5.0,2.4,3.6,2.1,4.0,4.2,3.5,0.8,2.5,3.5,4.2,3.0,5.0,0.8,2.5,2.1,3.4,1.9,4.3,2.4,2.1,2.2,2.5,4.0,2.1,4.3,2.7,2.1,2.7,2.2,2.8,4.3,2.9,0.9,2.6,2.7,2.0,4.1,3.7,4.1
Activity_316,2.3,3.1,3.5,1.8,3.9,3.7,2.7,2.6,1.8,3.1,3.4,3.0,5.0,3.4,2.4,2.1,3.9,3.8,0.5,3.7,2.7,5.0,1.6,3.3,3.9,3.6,4.9,2.4,3.9,1.1,2.7,4.2,2.4,3.1,2.4,2.9,1.2,3.5,3.4,3.2,1.4,1.4,1.1,3.2,2.8,2.7,2.4,0.8,2.1,1.9
Activity_317,2.9,2.3,3.3,3.7,0.0,2.7,3.4,3.8,3.3,2.7,2.7,3.0,1.0,3.6,1.9,3.2,4.5,3.4,3.3,2.5,1.6,3.0,3.5,2.4,4.8,3.3,2.3,3.8,3.2,4.1,2.6,4.8,2.7,3.1,2.9,0.8,3.7,5.0,1.1,3.2,2.1,2.9,5.0,4.0,3.9,3.8,2.6,0.9,2.3,3.8
Activity_318,3.6,1.1,3.6,4.1,2.2,3.7,2.9,3.3,2.3,2.6,5.0,0.9,4.0,2.2,3.0,3.0,4.3,2.3,2.4,5.0,2.1,3.0,2.3,3.9,4.6,3.2,4.8,2.5,0.4,3.9,2.2,2.5,2.4,5.0,1.0,2.0,0.0,1.6,2.9,2.0,3.6,4.5,2.9,1.5,4.1,1.7,0.0,0.8,2.9,3.9
